Index,Microseconds,Count
0, 68937192,6657
1, 68939396,6658
2, 68947144,6659
3, 68949840,6660
4, 68957512,6661
5, 68959980,6662
6, 68967484,6663
7, 68970048,6664
8, 68977896,6665
9, 68980176,6666
10,68988044,6667
11,68990640,6668
12,68836496,6637
13,68838572,6638
14,68846352,6639
15,68848692,6640
16,68856240,6641
17,68858904,6642
18,68866364,6643
19,68868948,6644
20,68876332,6645
21,68878904,6646
22,68886536,6647
23,68889144,6648
24,68896792,6649
25,68899540,6650
26,68906992,6651
27,68909604,6652
28,68917068,6653
29,68919736,6654
30,68926936,6655
31,68929296,6656



Index,Microseconds,Count
0 ,68614380,6593
1 ,68616648,6594
2 ,68624412,6595
3 ,68626532,6596
4 ,68634588,6597
5 ,68636668,6598
6 ,68644464,6599
7 ,68646752,6600
8 ,68654212,6601
9 ,68656832,6602
10,68664300,6603
11,68666780,6604
12,68674260,6605
13,68676836,6606
14,68684484,6607
15,68687204,6608
16,68694900,6609
17,68697588,6610
18,68704988,6611
19,68707716,6612
20,68714944,6613
21,68717692,6614
22,68563208,6583
23,68565708,6584
24,68573584,6585
25,68575884,6586
26,68583732,6587
27,68586348,6588
28,68594416,6589
29,68596720,6590
30,68604288,6591
31,68606884,6592
