12221: RotationSensor::ReadCount[2]: count=87, startTime=12160940, endTime=12175520, interval=14580, pulsesPerRev=20
Index,Time,Count
24,11205760,57
25,11220924,58
26,11269696,59
27,11284400,60
28,11333176,61
29,11347196,62
30,11408596,63
31,11454860,64
0 ,11468180,65
1 ,11512352,66
2 ,11528388,67
3 ,11588124,68
4 ,11632432,69
5 ,11647496,70
6 ,11692056,71
7 ,11707764,72
8 ,11752084,73
9 ,11767900,74
10,11811192,75
11,11826056,76
12,11868288,77
13,11883636,78
14,11941496,79
15,11987712,80
16,12000600,81
17,12045612,82
18,12060580,83
19,12103300,84
20,12117880,85
21,12160940,86
22,12175520,87
23,12223012,88
24,12236808,89
25,12285836,90
26,12301664,91
27,12346748,92
28,12359668,93
29,12401996,94
30,12415212,95
31,12470456,96
0 ,12512772,97
1 ,12524992,98
2 ,12568828,99
3 ,12580328,100
4 ,12623400,101
5 ,12635828,102
6 ,12676840,103
7 ,12691236,104
8 ,12744488,105
time,12437,Speed,49,RPM,205.76
12490: RotationSensor::ReadCount[2]: count=96, startTime=12415212, endTime=12470456, interval=55244, pulsesPerRev=20
0 ,11468180,65
1 ,11512352,66
2 ,11528388,67
3 ,11588124,68
4 ,11632432,69
5 ,11647496,70
6 ,11692056,71
7 ,11707764,72
8 ,11752084,73
9 ,11767900,74
10,11811192,75
11,11826056,76
12,11868288,77
13,11883636,78
14,11941496,79
15,11987712,80
16,12000600,81
17,12045612,82
18,12060580,83
19,12103300,84
20,12117880,85
21,12160940,86
22,12175520,87
23,12223012,88
time,12706,Speed,50,RPM,54.30
12760: RotationSensor::ReadCount[2]: count=105, startTime=12691236, endTime=12744488, interval=53252, pulsesPerRev=20
9 ,1767900,74
10,1811192,75
11,1826056,76
12,1868288,77
13,1883636,78
14,1941496,79
15,1987712,80
16,2000600,81
17,2045612,82
18,2060580,83
19,2103300,84
20,2117880,85
21,2160940,86
22,2175520,87
23,2223012,88
24,2236808,89
25,2285836,90
26,2301664,91
27,2346748,92
28,2359668,93
29,2401996,94
30,2415212,95
31,2470456,96
0 ,2512772,97
1 ,2524992,98
2 ,2568828,99
3 ,2580328,100
4 ,2623400,101
5 ,2635828,102
6 ,2676840,103
7 ,2691236,104
8 ,2744488,105
